StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-07 16:38:13,2025-12-07 16:44:14,477,15,338,260
2025-12-07 16:49:30,2025-12-07 16:59:13,190,6,134,103
2025-12-07 17:02:01,2025-12-07 17:14:22,205,6,145,111
2025-12-07 17:18:18,2025-12-07 17:19:53,56,1,39,30
2025-12-07 19:03:15,2025-12-07 19:14:30,101,3,71,55
2025-12-07 19:15:24,2025-12-07 19:28:08,420,13,297,229
2025-12-07 19:30:21,2025-12-07 19:36:12,191,6,135,104
2025-12-07 19:51:56,2025-12-07 19:58:41,599,19,424,326
2025-12-07 20:16:12,2025-12-07 20:21:34,134,4,95,73
2025-12-07 20:44:01,2025-12-07 20:45:00,12,0,8,6
2025-12-07 20:45:00,2025-12-07 21:00:00,1160,38,823,632
2025-12-07 21:00:00,2025-12-07 21:02:55,62,2,43,33
2025-12-07 21:38:26,2025-12-07 21:39:26,8,0,5,4
2025-12-07 22:12:56,2025-12-07 22:15:00,59,1,41,32
2025-12-07 22:15:00,2025-12-07 22:16:43,39,1,27,21
2025-12-07 22:36:43,2025-12-07 22:37:43,14,0,9,7
2025-12-14 07:15:00,2025-12-14 07:30:00,382,12,271,208
2025-12-14 07:30:00,2025-12-14 07:45:00,382,12,271,208
2025-12-14 07:45:00,2025-12-14 08:00:00,382,12,271,208
2025-12-14 08:00:00,2025-12-14 08:15:00,382,12,271,208
2025-12-14 08:15:00,2025-12-14 08:30:00,382,12,271,208
2025-12-14 08:30:00,2025-12-14 08:45:00,382,12,271,208
2025-12-14 08:45:00,2025-12-14 09:00:00,382,12,271,208
2025-12-14 09:00:00,2025-12-14 09:15:00,382,12,271,208
2025-12-14 09:15:00,2025-12-14 09:30:00,382,12,271,208
2025-12-14 09:30:00,2025-12-14 09:45:00,382,12,271,208
2025-12-14 09:45:00,2025-12-14 10:00:00,382,12,271,208
2025-12-14 10:00:00,2025-12-14 10:15:00,382,12,271,208
2025-12-14 10:15:00,2025-12-14 10:30:00,382,12,271,208
2025-12-14 10:30:00,2025-12-14 10:45:00,382,12,271,208
2025-12-14 10:45:00,2025-12-14 11:00:00,382,12,271,208
2025-12-14 11:00:00,2025-12-14 11:15:00,382,12,271,208
2025-12-14 11:15:00,2025-12-14 11:30:00,382,12,271,208
2025-12-14 11:30:00,2025-12-14 11:45:00,382,12,271,208
2025-12-14 11:45:00,2025-12-14 12:00:00,382,12,271,208
2025-12-14 12:00:00,2025-12-14 12:15:00,382,12,271,208
2025-12-14 12:15:00,2025-12-14 12:30:00,382,12,271,208
2025-12-14 12:30:00,2025-12-14 12:45:00,382,12,271,208
2025-12-14 12:45:00,2025-12-14 13:00:00,382,12,271,208
2025-12-14 13:00:00,2025-12-14 13:15:00,382,12,271,208
2025-12-14 13:15:00,2025-12-14 13:30:00,382,12,271,208
2025-12-14 13:30:00,2025-12-14 13:45:00,382,12,271,208
2025-12-14 13:45:00,2025-12-14 14:00:00,382,12,271,208
2025-12-14 14:00:00,2025-12-14 14:15:00,382,12,271,208
2025-12-14 14:15:00,2025-12-14 14:30:00,382,12,271,208
2025-12-14 14:30:00,2025-12-14 14:45:00,382,12,271,208
2025-12-14 14:45:00,2025-12-14 15:00:00,382,12,271,208
2025-12-14 15:00:00,2025-12-14 15:15:00,382,12,271,208
2025-12-14 15:15:00,2025-12-14 15:30:00,382,12,271,208
2025-12-14 15:30:00,2025-12-14 15:45:00,382,12,271,208
2025-12-14 15:45:00,2025-12-14 16:00:00,382,12,271,208
2025-12-14 16:00:00,2025-12-14 16:15:00,382,12,271,208
2025-12-14 16:15:00,2025-12-14 16:30:00,382,12,271,208
2025-12-14 16:30:00,2025-12-14 16:45:00,382,12,271,208
2025-12-14 16:45:00,2025-12-14 17:00:00,382,12,271,208
2025-12-14 17:00:00,2025-12-14 17:15:00,382,12,271,208
2025-12-14 17:15:00,2025-12-14 17:30:00,382,12,271,208
2025-12-14 17:30:00,2025-12-14 17:45:00,382,12,271,208
2025-12-14 17:45:00,2025-12-14 18:00:00,382,12,271,208
2025-12-14 18:00:00,2025-12-14 18:15:00,382,12,271,208
2025-12-14 18:15:00,2025-12-14 18:30:00,382,12,271,208
2025-12-14 18:30:00,2025-12-14 18:45:00,382,12,271,208
2025-12-14 18:45:00,2025-12-14 19:00:00,382,12,271,208
2025-12-14 19:00:00,2025-12-14 19:15:00,382,12,271,208
2025-12-14 19:15:00,2025-12-14 19:30:00,382,12,271,208
2025-12-14 19:30:00,2025-12-14 19:45:00,382,12,271,208
2025-12-14 19:45:00,2025-12-14 20:00:00,382,12,271,208
2025-12-14 20:00:00,2025-12-14 20:15:00,382,12,271,208
2025-12-14 20:15:00,2025-12-14 20:30:00,382,12,271,208
2025-12-14 20:30:00,2025-12-14 20:45:00,382,12,271,208
2025-12-14 20:45:00,2025-12-14 21:00:00,382,12,271,208
2025-12-14 21:00:00,2025-12-14 21:15:00,382,12,271,208
2025-12-14 21:15:00,2025-12-14 21:30:00,382,12,271,208
2025-12-14 21:30:00,2025-12-14 21:45:00,382,12,271,208
2025-12-14 21:45:00,2025-12-14 22:00:00,382,12,271,208
2025-12-14 22:00:00,2025-12-14 22:14:19,729,24,517,397
2025-12-07 22:30:00,2025-12-07 22:37:43,14,0,9,7
2025-12-13 00:00:00,2025-12-13 00:15:00,15,0,10,8
2025-12-13 00:15:00,2025-12-13 00:30:00,15,0,10,8
2025-12-13 00:30:00,2025-12-13 00:45:00,15,0,10,8
2025-12-13 00:45:00,2025-12-13 01:00:00,15,0,10,8
2025-12-13 01:00:00,2025-12-13 01:15:00,15,0,10,8
2025-12-13 01:15:00,2025-12-13 01:30:00,15,0,10,8
2025-12-13 01:30:00,2025-12-13 01:45:00,15,0,10,8
2025-12-13 01:45:00,2025-12-13 02:00:00,15,0,10,8
2025-12-13 02:00:00,2025-12-13 02:15:00,15,0,10,8
2025-12-13 02:15:00,2025-12-13 02:30:00,15,0,10,8
2025-12-13 02:30:00,2025-12-13 02:45:00,15,0,10,8
2025-12-13 02:45:00,2025-12-13 03:00:00,15,0,10,8
2025-12-13 03:00:00,2025-12-13 03:15:00,15,0,10,8
2025-12-13 03:15:00,2025-12-13 03:30:00,15,0,10,8
2025-12-13 03:30:00,2025-12-13 03:45:00,15,0,10,8
2025-12-13 03:45:00,2025-12-13 04:00:00,15,0,10,8
2025-12-13 04:00:00,2025-12-13 04:15:00,15,0,10,8
2025-12-13 04:15:00,2025-12-13 04:30:00,15,0,10,8
2025-12-13 04:30:00,2025-12-13 04:45:00,15,0,10,8
2025-12-13 04:45:00,2025-12-13 05:00:00,15,0,10,8
2025-12-13 05:00:00,2025-12-13 05:15:00,15,0,10,8
2025-12-13 05:15:00,2025-12-13 05:30:00,15,0,10,8
2025-12-13 05:30:00,2025-12-13 05:45:00,15,0,10,8
2025-12-13 05:45:00,2025-12-13 06:00:00,15,0,10,8
2025-12-13 06:00:00,2025-12-13 06:15:00,15,0,10,8
2025-12-13 06:15:00,2025-12-13 06:30:00,15,0,10,8
2025-12-13 06:30:00,2025-12-13 06:45:00,15,0,10,8
2025-12-13 06:45:00,2025-12-13 07:00:00,15,0,10,8
2025-12-13 07:00:00,2025-12-13 07:15:00,15,0,10,8
2025-12-13 07:15:00,2025-12-13 07:30:00,15,0,10,8
2025-12-13 07:30:00,2025-12-13 07:45:00,15,0,10,8
2025-12-13 07:45:00,2025-12-13 08:00:00,15,0,10,8
2025-12-13 08:00:00,2025-12-13 08:15:00,15,0,10,8
2025-12-13 08:15:00,2025-12-13 08:30:00,15,0,10,8
2025-12-13 08:30:00,2025-12-13 08:45:00,15,0,10,8
2025-12-13 08:45:00,2025-12-13 09:00:00,15,0,10,8
2025-12-13 09:00:00,2025-12-13 09:15:00,15,0,10,8
2025-12-13 09:15:00,2025-12-13 09:30:00,15,0,10,8
2025-12-13 09:30:00,2025-12-13 09:45:00,15,0,10,8
2025-12-13 09:45:00,2025-12-13 10:00:00,15,0,10,8
2025-12-13 10:00:00,2025-12-13 10:15:00,15,0,10,8
2025-12-13 10:15:00,2025-12-13 10:30:00,15,0,10,8
2025-12-13 10:30:00,2025-12-13 10:45:00,15,0,10,8
2025-12-13 10:45:00,2025-12-13 11:00:00,15,0,10,8
2025-12-13 11:00:00,2025-12-13 11:15:00,15,0,10,8
2025-12-13 11:15:00,2025-12-13 11:30:00,15,0,10,8
2025-12-13 11:30:00,2025-12-13 11:45:00,15,0,10,8
2025-12-13 11:45:00,2025-12-13 12:00:00,15,0,10,8
2025-12-13 12:00:00,2025-12-13 12:15:00,15,0,10,8
2025-12-13 12:15:00,2025-12-13 12:30:00,15,0,10,8
2025-12-13 12:30:00,2025-12-13 12:45:00,15,0,10,8
2025-12-13 12:45:00,2025-12-13 13:00:00,15,0,10,8
2025-12-13 13:00:00,2025-12-13 13:15:00,15,0,10,8
2025-12-13 13:15:00,2025-12-13 13:30:00,15,0,10,8
2025-12-13 13:30:00,2025-12-13 13:45:00,15,0,10,8
2025-12-13 13:45:00,2025-12-13 14:00:00,15,0,10,8
2025-12-13 14:00:00,2025-12-13 14:15:00,15,0,10,8
2025-12-13 14:15:00,2025-12-13 14:30:00,15,0,10,8
2025-12-13 14:30:00,2025-12-13 14:45:00,15,0,10,8
2025-12-13 14:45:00,2025-12-13 15:00:00,15,0,10,8
2025-12-13 15:00:00,2025-12-13 15:15:00,15,0,10,8
2025-12-13 15:15:00,2025-12-13 15:30:00,15,0,10,8
2025-12-13 15:30:00,2025-12-13 15:45:00,15,0,10,8
2025-12-13 15:45:00,2025-12-13 16:00:00,15,0,10,8
2025-12-13 16:00:00,2025-12-13 16:15:00,15,0,10,8
2025-12-13 16:15:00,2025-12-13 16:30:00,15,0,10,8
2025-12-13 16:30:00,2025-12-13 16:45:00,15,0,10,8
2025-12-13 16:45:00,2025-12-13 17:00:00,15,0,10,8
2025-12-13 17:00:00,2025-12-13 17:15:00,15,0,10,8
2025-12-13 17:15:00,2025-12-13 17:30:00,15,0,10,8
2025-12-13 17:30:00,2025-12-13 17:45:00,15,0,10,8
2025-12-13 17:45:00,2025-12-13 18:00:00,15,0,10,8
2025-12-13 18:00:00,2025-12-13 18:15:00,15,0,10,8
2025-12-13 18:15:00,2025-12-13 18:30:00,15,0,10,8
2025-12-13 18:30:00,2025-12-13 18:45:00,15,0,10,8
2025-12-13 18:45:00,2025-12-13 19:00:00,15,0,10,8
2025-12-13 19:00:00,2025-12-13 19:15:00,15,0,10,8
2025-12-13 19:15:00,2025-12-13 19:30:00,15,0,10,8
2025-12-13 19:30:00,2025-12-13 19:45:00,15,0,10,8
2025-12-13 19:45:00,2025-12-13 20:00:00,15,0,10,8
2025-12-13 20:00:00,2025-12-13 20:15:00,15,0,10,8
2025-12-13 20:15:00,2025-12-13 20:30:00,15,0,10,8
2025-12-13 20:30:00,2025-12-13 20:45:00,15,0,10,8
2025-12-13 20:45:00,2025-12-13 21:00:00,15,0,10,8
2025-12-13 21:00:00,2025-12-13 21:08:59,30,0,6,31
2025-12-11 08:30:00,2025-12-11 08:45:00,70,2,50,38
2025-12-11 08:45:00,2025-12-11 09:00:00,168,5,119,92
2025-12-11 09:00:00,2025-12-11 09:15:00,168,5,119,92
2025-12-11 09:15:00,2025-12-11 09:30:00,168,5,119,92
2025-12-11 09:30:00,2025-12-11 09:45:00,168,5,119,92
2025-12-11 09:45:00,2025-12-11 10:00:00,168,5,119,92
2025-12-11 10:00:00,2025-12-11 10:15:00,168,5,119,92
2025-12-11 10:15:00,2025-12-11 10:30:00,168,5,119,92
2025-12-11 10:30:00,2025-12-11 10:45:00,168,5,119,92
2025-12-11 10:45:00,2025-12-11 11:00:00,168,5,119,92
2025-12-11 11:00:00,2025-12-11 11:15:00,168,5,119,92
2025-12-11 11:15:00,2025-12-11 11:30:00,168,5,119,92
2025-12-11 11:30:00,2025-12-11 11:45:00,168,5,119,92
2025-12-11 11:45:00,2025-12-11 12:00:00,168,5,119,92
2025-12-11 12:00:00,2025-12-11 12:15:00,168,5,119,92
2025-12-11 12:15:00,2025-12-11 12:30:00,168,5,119,92
2025-12-11 12:30:00,2025-12-11 12:45:00,168,5,119,92
2025-12-11 12:45:00,2025-12-11 13:00:00,168,5,119,92
2025-12-11 13:00:00,2025-12-11 13:15:00,168,5,119,92
2025-12-11 13:15:00,2025-12-11 13:30:00,168,5,119,92
2025-12-11 13:30:00,2025-12-11 13:45:00,168,5,119,92
2025-12-11 13:45:00,2025-12-11 14:00:00,168,5,119,92
2025-12-11 14:00:00,2025-12-11 14:15:00,168,5,119,92
2025-12-11 14:15:00,2025-12-11 14:30:00,168,5,119,92
2025-12-11 14:30:00,2025-12-11 14:45:00,168,5,119,92
2025-12-11 14:45:00,2025-12-11 15:00:00,168,5,119,92
2025-12-11 15:00:00,2025-12-11 15:15:00,168,5,119,92
2025-12-11 15:15:00,2025-12-11 15:30:00,168,5,119,92
2025-12-11 15:30:00,2025-12-11 15:45:00,168,5,119,92
2025-12-11 15:45:00,2025-12-11 16:00:00,168,5,119,92
2025-12-11 16:00:00,2025-12-11 16:15:00,168,5,119,92
2025-12-11 16:15:00,2025-12-11 16:30:00,168,5,119,92
2025-12-11 16:30:00,2025-12-11 16:45:00,168,5,119,92
2025-12-11 16:45:00,2025-12-11 17:00:00,168,5,119,92
2025-12-11 17:00:00,2025-12-11 17:15:00,168,5,119,92
2025-12-11 17:15:00,2025-12-11 17:30:00,168,5,119,92
2025-12-11 17:30:00,2025-12-11 17:45:00,168,5,119,92
2025-12-11 17:45:00,2025-12-11 18:00:00,168,5,119,92
2025-12-11 18:00:00,2025-12-11 18:15:00,168,5,119,92
2025-12-11 18:15:00,2025-12-11 18:30:00,168,5,119,92
2025-12-11 18:30:00,2025-12-11 18:45:00,168,5,119,92
2025-12-11 18:45:00,2025-12-11 19:00:00,168,5,119,92
2025-12-11 19:00:00,2025-12-11 19:15:00,168,5,119,92
2025-12-11 19:15:00,2025-12-11 19:30:00,168,5,119,92
2025-12-11 19:30:00,2025-12-11 19:45:00,168,5,119,92
2025-12-11 19:45:00,2025-12-11 20:00:00,168,5,119,92
2025-12-11 20:00:00,2025-12-11 20:15:00,168,5,119,92
2025-12-11 20:15:00,2025-12-11 20:30:00,168,5,119,92
2025-12-11 20:30:00,2025-12-11 20:45:00,168,5,119,92
2025-12-11 20:45:00,2025-12-11 21:00:00,168,5,119,92
2025-12-11 21:00:00,2025-12-11 21:15:00,168,5,119,92
2025-12-11 21:15:00,2025-12-11 21:30:00,168,5,119,92
2025-12-11 21:30:00,2025-12-11 21:45:00,168,5,119,92
2025-12-11 21:45:00,2025-12-11 22:00:00,168,5,119,92
2025-12-11 22:00:00,2025-12-11 22:15:00,168,5,119,92
2025-12-11 22:15:00,2025-12-11 22:30:00,168,5,119,92
2025-12-11 22:30:00,2025-12-11 22:45:00,168,5,119,92
2025-12-11 22:45:00,2025-12-11 22:59:16,207,5,113,92
2025-12-12 08:15:00,2025-12-12 08:30:00,94,3,67,51
2025-12-12 08:30:00,2025-12-12 08:45:00,263,8,186,143
2025-12-12 08:45:00,2025-12-12 09:00:00,263,8,186,143
2025-12-12 09:00:00,2025-12-12 09:15:00,263,8,186,143
2025-12-12 09:15:00,2025-12-12 09:30:00,263,8,186,143
2025-12-12 09:30:00,2025-12-12 09:45:00,263,8,186,143
2025-12-12 09:45:00,2025-12-12 10:00:00,263,8,186,143
2025-12-12 10:00:00,2025-12-12 10:15:00,263,8,186,143
2025-12-12 10:15:00,2025-12-12 10:30:00,263,8,186,143
2025-12-12 10:30:00,2025-12-12 10:45:00,263,8,186,143
2025-12-12 10:45:00,2025-12-12 11:00:00,263,8,186,143
2025-12-12 11:00:00,2025-12-12 11:15:00,263,8,186,143
2025-12-12 11:15:00,2025-12-12 11:30:00,263,8,186,143
2025-12-12 11:30:00,2025-12-12 11:45:00,263,8,186,143
2025-12-12 11:45:00,2025-12-12 12:00:00,263,8,186,143
2025-12-12 12:00:00,2025-12-12 12:15:00,263,8,186,143
2025-12-12 12:15:00,2025-12-12 12:30:00,263,8,186,143
2025-12-12 12:30:00,2025-12-12 12:45:00,263,8,186,143
2025-12-12 12:45:00,2025-12-12 13:00:00,263,8,186,143
2025-12-12 13:00:00,2025-12-12 13:15:00,263,8,186,143
2025-12-12 13:15:00,2025-12-12 13:30:00,263,8,186,143
2025-12-12 13:30:00,2025-12-12 13:45:00,263,8,186,143
2025-12-12 13:45:00,2025-12-12 14:00:00,263,8,186,143
2025-12-12 14:00:00,2025-12-12 14:15:00,263,8,186,143
2025-12-12 14:15:00,2025-12-12 14:30:00,263,8,186,143
2025-12-12 14:30:00,2025-12-12 14:45:00,263,8,186,143
2025-12-12 14:45:00,2025-12-12 15:00:00,263,8,186,143
2025-12-12 15:00:00,2025-12-12 15:15:00,263,8,186,143
2025-12-12 15:15:00,2025-12-12 15:30:00,263,8,186,143
2025-12-12 15:30:00,2025-12-12 15:45:00,263,8,186,143
2025-12-12 15:45:00,2025-12-12 16:00:00,263,8,186,143
2025-12-12 16:00:00,2025-12-12 16:15:00,263,8,186,143
2025-12-12 16:15:00,2025-12-12 16:30:00,263,8,186,143
2025-12-12 16:30:00,2025-12-12 16:45:00,263,8,186,143
2025-12-12 16:45:00,2025-12-12 17:00:00,263,8,186,143
2025-12-12 17:00:00,2025-12-12 17:15:00,263,8,186,143
2025-12-12 17:15:00,2025-12-12 17:30:00,263,8,186,143
2025-12-12 17:30:00,2025-12-12 17:45:00,263,8,186,143
2025-12-12 17:45:00,2025-12-12 18:00:00,263,8,186,143
2025-12-12 18:00:00,2025-12-12 18:15:00,263,8,186,143
2025-12-12 18:15:00,2025-12-12 18:30:00,263,8,186,143
2025-12-12 18:30:00,2025-12-12 18:45:00,263,8,186,143
2025-12-12 18:45:00,2025-12-12 19:00:00,263,8,186,143
2025-12-12 19:00:00,2025-12-12 19:15:00,263,8,186,143
2025-12-12 19:15:00,2025-12-12 19:30:00,263,8,186,143
2025-12-12 19:30:00,2025-12-12 19:45:00,263,8,186,143
2025-12-12 19:45:00,2025-12-12 20:00:00,263,8,186,143
2025-12-12 20:00:00,2025-12-12 20:15:00,263,8,186,143
2025-12-12 20:15:00,2025-12-12 20:30:00,263,8,186,143
2025-12-12 20:30:00,2025-12-12 20:45:00,263,8,186,143
2025-12-12 20:45:00,2025-12-12 21:00:00,263,8,186,143
2025-12-12 21:00:00,2025-12-12 21:15:00,263,8,186,143
2025-12-12 21:15:00,2025-12-12 21:30:00,263,8,186,143
2025-12-12 21:30:00,2025-12-12 21:45:00,263,8,186,143
2025-12-12 21:45:00,2025-12-12 22:00:00,263,8,186,143
2025-12-12 22:00:00,2025-12-12 22:15:00,263,8,186,143
2025-12-12 22:15:00,2025-12-12 22:30:00,263,8,186,143
2025-12-12 22:30:00,2025-12-12 22:45:00,263,8,186,143
2025-12-12 22:45:00,2025-12-12 23:00:00,263,8,186,143
2025-12-12 23:00:00,2025-12-12 23:12:54,246,7,160,160
2025-12-08 00:30:00,2025-12-08 00:45:00,31,1,22,17
2025-12-08 00:45:00,2025-12-08 01:00:00,74,2,52,40
2025-12-08 01:00:00,2025-12-08 01:15:00,74,2,52,40
2025-12-08 01:15:00,2025-12-08 01:30:00,74,2,52,40
2025-12-08 01:30:00,2025-12-08 01:45:00,74,2,52,40
2025-12-08 01:45:00,2025-12-08 02:00:00,74,2,52,40
2025-12-08 02:00:00,2025-12-08 02:15:00,74,2,52,40
2025-12-08 02:15:00,2025-12-08 02:30:00,74,2,52,40
2025-12-08 02:30:00,2025-12-08 02:45:00,74,2,52,40
2025-12-08 02:45:00,2025-12-08 03:00:00,74,2,52,40
2025-12-08 03:00:00,2025-12-08 03:15:00,74,2,52,40
2025-12-08 03:15:00,2025-12-08 03:30:00,74,2,52,40
2025-12-08 03:30:00,2025-12-08 03:45:00,74,2,52,40
2025-12-08 03:45:00,2025-12-08 04:00:00,74,2,52,40
2025-12-08 04:00:00,2025-12-08 04:15:00,74,2,52,40
2025-12-08 04:15:00,2025-12-08 04:30:00,74,2,52,40
2025-12-08 04:30:00,2025-12-08 04:45:00,74,2,52,40
2025-12-08 04:45:00,2025-12-08 05:00:00,74,2,52,40
2025-12-08 05:00:00,2025-12-08 05:15:00,74,2,52,40
2025-12-08 05:15:00,2025-12-08 05:30:00,74,2,52,40
2025-12-08 05:30:00,2025-12-08 05:45:00,74,2,52,40
2025-12-08 05:45:00,2025-12-08 06:00:00,74,2,52,40
2025-12-08 06:00:00,2025-12-08 06:15:00,74,2,52,40
2025-12-08 06:15:00,2025-12-08 06:30:00,74,2,52,40
2025-12-08 06:30:00,2025-12-08 06:45:00,74,2,52,40
2025-12-08 06:45:00,2025-12-08 07:00:00,74,2,52,40
2025-12-08 07:00:00,2025-12-08 07:15:00,74,2,52,40
2025-12-08 07:15:00,2025-12-08 07:30:00,74,2,52,40
2025-12-08 07:30:00,2025-12-08 07:45:00,74,2,52,40
2025-12-08 07:45:00,2025-12-08 08:00:00,74,2,52,40
2025-12-08 08:00:00,2025-12-08 08:15:00,74,2,52,40
2025-12-08 08:15:00,2025-12-08 08:30:00,74,2,52,40
2025-12-08 08:30:00,2025-12-08 08:45:00,74,2,52,40
2025-12-08 08:45:00,2025-12-08 09:00:00,74,2,52,40
2025-12-08 09:00:00,2025-12-08 09:15:00,74,2,52,40
2025-12-08 09:15:00,2025-12-08 09:30:00,74,2,52,40
2025-12-08 09:30:00,2025-12-08 09:45:00,74,2,52,40
2025-12-08 09:45:00,2025-12-08 10:00:00,74,2,52,40
2025-12-08 10:00:00,2025-12-08 10:15:00,74,2,52,40
2025-12-08 10:15:00,2025-12-08 10:30:00,74,2,52,40
2025-12-08 10:30:00,2025-12-08 10:45:00,74,2,52,40
