Time,Latitude,Longtitude,Altitude(meters),Steps,Speed(km/h)
2025-12-03T11:10:25.796+0100,52.2491532,21.088653,117.0999985,0,,000
2025-12-03T11:10:38.575+0100,52.2491584,21.0886645,117.0999985,0,,275
2025-12-03T11:10:43.932+0100,52.2491622,21.0886346,117.0999985,0,,211
2025-12-03T11:10:51.288+0100,52.2491591,21.0886189,117.0999985,0,,042
2025-12-03T11:10:57.695+0100,52.249162,21.0886183,117.0999985,0,,290
2025-12-03T11:11:04.106+0100,52.2491549,21.088644,117.0999985,0,,121
2025-12-03T11:11:10.536+0100,52.2491489,21.0886372,117.0999985,0,,238
2025-12-03T11:11:16.838+0100,52.2491591,21.0886207,117.0999985,0,,156
2025-12-03T11:11:23.233+0100,52.2491508,21.0886138,117.0999985,0,1,755
2025-12-03T11:11:28.787+0100,52.2491498,21.0884429,117.0999985,0,2,120
2025-12-03T11:11:34.927+0100,52.2491483,21.0886356,117.0999985,0,,130
2025-12-03T11:11:41.821+0100,52.2491417,21.0886205,117.0999985,0,,729
2025-12-03T11:11:46.443+0100,52.2492318,21.0884032,117.0999985,0,,846
2025-12-03T11:11:51.340+0100,52.2492386,21.0884008,117.0999985,10,,838
2025-12-03T11:11:55.821+0100,52.2492283,21.0884146,117.0999985,11,,976
2025-12-03T11:11:59.938+0100,52.2491895,21.0883959,117.0999985,21,,977
2025-12-03T11:12:05.063+0100,52.2491867,21.0884067,117.0999985,28,,794
2025-12-03T11:12:05.063+0100,52.2491867,21.0884067,117.0999985,34,,794
2025-12-03T11:12:12.329+0100,52.2491711,21.0883872,117.0999985,34,,019